modelo,parametro,IRR_mediana,ICr95_inf,ICr95_sup
priors_estrechos_(x0.5),anio_IRR,1.0418857429772326,1.011132979512634,1.0733267158146045
priors_estrechos_(x0.5),interac_IRR,1.0560151201461183,0.9632297662243122,1.1608556700118062
priors_estrechos_(x0.5),origen_IRR,2.0792602700078424,1.375413481878488,3.016562928195707
priors_aprobados,anio_IRR,1.0412430705061098,1.0110930944487018,1.0725934148334555
priors_aprobados,interac_IRR,1.0457235095699624,0.9573012704415657,1.1489404732641133
priors_aprobados,origen_IRR,2.3038165220334648,1.4788944985740349,3.3945124167168657
priors_amplios_(x2),anio_IRR,1.0411063413609094,1.0111847434981693,1.0717642442603599
priors_amplios_(x2),interac_IRR,1.0397795504883576,0.9530081390454691,1.1462573292669143
priors_amplios_(x2),origen_IRR,2.3989793140865903,1.5146945690664542,3.5372271482460462
