parametro,IRR_mediana,ICr95_inf,ICr95_sup,P(IRR>1),P(IRR<1)
anio_IRR,1.0412430705061098,1.0110930944487018,1.0725934148334555,0.9965,0.0035
interac_IRR,1.0457235095699624,0.9573012704415657,1.1489404732641133,0.830625,0.169375
origen_IRR,2.3038165220334648,1.4788944985740349,3.3945124167168657,0.999875,1.25e-4
