outcome,OR_mediana,ICr95_inf,ICr95_sup,P(OR>1),P(OR<1),rhat_max,ess_bulk_min,ess_tail_min,divergencias
CPN_subóptimo_extranjera_vs_nacional,1.6972394708711835,0.8176721958978277,3.906888450069418,0.916,0.084,1.0004144500972088,4913.717309252928,4473.362405325459,0
PEG_extranjera_vs_nacional,0.8804156971000039,0.3810388245464919,1.9092331881115827,0.37675,0.62325,1.0007529394504726,5406.252547984078,3971.5184850121914,0
