familia,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
Binomial negativa,0,0,-80.24091167999654,5.9467955429381565,2.4252477463121265,0.6179609015309553,160.4818233599931,11.893591085876313
Poisson,-2.6349934634567127,5.301973865168063,-82.87590514345328,9.659558686982995,8.402458977226413,2.706695689088855,165.75181028690656,19.31911737396599
