familia,IRR,ICr95_inf,ICr95_sup,P_IRR_gt_1,ELPD_LOO,SE_ELPD,Pareto_k_max,varianza_replicada_mediana,P_var_rep_ge_obs
Poisson,2.4709454300939386,1.6855903679003732,3.5119220366345836,1,-82.87590514345328,9.659558686982995,0.6954499797722788,51.46774193548387,0.26875
Binomial negativa,2.3717570289288026,1.418365398136714,3.9895727238543968,0.99875,-80.24091167999654,5.9467955429381565,0.47252613451448083,77.22076612903226,0.70925
