escenario,prior_origen,IRR,ICr95_inf,ICr95_sup,P_IRR_gt_1,Rhat_max,divergencias,ELPD_LOO,familia
Principal,"Normal(0,1)",2.4709454300939386,1.6855903679003732,3.5119220366345836,1,1.0021317695830418,0,-82.87590514345328,Poisson
Mas regularizado,"Normal(0,0.5)",2.2667035194535545,1.5745084459461294,3.1942043259506896,1,1.0017719222643255,0,-82.69935885158998,Poisson
Menos regularizado,"Normal(0,1.5)",2.516513457460393,1.7473269063488857,3.521048162574865,1,1.0009358241591475,0,-82.873633944243,Poisson
