panel,escenario,n_estratos,IRR,ICr95_inf,ICr95_sup,P_IRR_gt_1,familia
Referencia,Principal,32,2.4709454300939386,1.6855903679003732,3.5119220366345836,1,Poisson
A,Sin ambos estratos de 2021,30,2.8326919763835017,1.8571710275713245,4.167375042209585,1,Poisson
B,Sin ambos estratos de 2024,30,2.445158739478397,1.652604863057233,3.4695198872434783,1,Poisson
