variable,categoria,n,pct_sobre_validos
Motivo.principal.de.induccion.o.cirugia,PELVIANO,5,4.9
Motivo.principal.de.induccion.o.cirugia,SIFILIS,4,3.9
Motivo.principal.de.induccion.o.cirugia,VIH POSITIVO,4,3.9
Motivo.principal.de.induccion.o.cirugia,MALFORMACION FETAL,3,2.9
Motivo.principal.de.induccion.o.cirugia,INDUCCION FALLIDA,2,2
Motivo.principal.de.induccion.o.cirugia,PATOLOGIA PLACENTARIA,2,2
Motivo.principal.de.induccion.o.cirugia,DISTOCIA DE LABOR,1,1
Motivo.principal.de.induccion.o.cirugia,DISTOCIA DE PRESENTACION,1,1
Motivo.principal.de.induccion.o.cirugia,MACROSOMIA FETAL,1,1
Motivo.principal.de.induccion.o.cirugia,MALFORMACIONES UTEROVAGINALES MATERNOS,1,1
Motivo.principal.de.induccion.o.cirugia,PATOLOGIA CERVIX,1,1
Motivo.principal.de.induccion.o.cirugia,RPM,1,1
Edad.gestaciol.RN,39,80,31.5
Edad.gestaciol.RN,37,46,18.1
Edad.gestaciol.RN,38,40,15.7
Edad.gestaciol.RN,40,39,15.4
Edad.gestaciol.RN,41,16,6.3
Edad.gestaciol.RN,36,13,5.1
Edad.gestaciol.RN,35,6,2.4
Edad.gestaciol.RN,33,5,2
Edad.gestaciol.RN,34,4,1.6
Edad.gestaciol.RN,32,2,0.8
Edad.gestaciol.RN,29,1,0.4
Edad.gestaciol.RN,30,1,0.4
Edad.gestaciol.RN,42,1,0.4
Edad.gestacional.CATEGORIA,2,221,87
Edad.gestacional.CATEGORIA,1,32,12.6
Edad.gestacional.CATEGORIA,3,1,0.4
PREMATURO.CODIGO,0,222,87.4
PREMATURO.CODIGO,1,32,12.6
A.TERMINO.CODIGO,1,221,87
A.TERMINO.CODIGO,0,33,13
POSTERMINO.CODIGO,0,253,99.6
POSTERMINO.CODIGO,1,1,0.4
Apgar.1er..Minuto,8,137,55
Apgar.1er..Minuto,9,56,22.5
Apgar.1er..Minuto,7,36,14.5
Apgar.1er..Minuto,6,9,3.6
Apgar.1er..Minuto,5,5,2
Apgar.1er..Minuto,1,2,0.8
Apgar.1er..Minuto,3,2,0.8
Apgar.1er..Minuto,4,2,0.8
Apgar.1.minuto..7.SI.NO,no,229,92
Apgar.1.minuto..7.SI.NO,si,20,8
CODIGO.Apgar.1.minuto..7,0,229,92
CODIGO.Apgar.1.minuto..7,1,20,8
Apgar.5to..Minuto,9,203,81.5
Apgar.5to..Minuto,8,27,10.8
Apgar.5to..Minuto,10,12,4.8
Apgar.5to..Minuto,7,5,2
Apgar.5to..Minuto,0,1,0.4
Apgar.5to..Minuto,5,1,0.4
Apgar.5to...7..SI.NO,no,247,99.2
Apgar.5to...7..SI.NO,si,2,0.8
CODIGO.Apgar.5to.,0,247,99.2
CODIGO.Apgar.5to.,1,2,0.8
Peso.al.nacer.GRAMOS,3280,6,2.4
Peso.al.nacer.GRAMOS,2730,4,1.6
Peso.al.nacer.GRAMOS,2900,4,1.6
Peso.al.nacer.GRAMOS,2800,3,1.2
Peso.al.nacer.GRAMOS,2905,3,1.2
Peso.al.nacer.GRAMOS,3000,3,1.2
Peso.al.nacer.GRAMOS,3120,3,1.2
Peso.al.nacer.GRAMOS,3130,3,1.2
Peso.al.nacer.GRAMOS,3150,3,1.2
Peso.al.nacer.GRAMOS,3400,3,1.2
Peso.al.nacer.GRAMOS,1290,2,0.8
Peso.al.nacer.GRAMOS,2310,2,0.8
Peso.al.nacer.GRAMOS,2395,2,0.8
Peso.al.nacer.GRAMOS,2520,2,0.8
Peso.al.nacer.GRAMOS,2535,2,0.8
Peso.al.nacer.GRAMOS,2590,2,0.8
Peso.al.nacer.GRAMOS,2615,2,0.8
Peso.al.nacer.GRAMOS,2620,2,0.8
Peso.al.nacer.GRAMOS,2680,2,0.8
Peso.al.nacer.GRAMOS,2760,2,0.8
Peso.al.nacer.GRAMOS,2780,2,0.8
Peso.al.nacer.GRAMOS,2880,2,0.8
Peso.al.nacer.GRAMOS,2920,2,0.8
Peso.al.nacer.GRAMOS,2940,2,0.8
Peso.al.nacer.GRAMOS,2950,2,0.8
Peso.al.nacer.GRAMOS,2960,2,0.8
Peso.al.nacer.GRAMOS,2975,2,0.8
Peso.al.nacer.GRAMOS,2990,2,0.8
Peso.al.nacer.GRAMOS,3014,2,0.8
Peso.al.nacer.GRAMOS,3104,2,0.8
Peso.al.nacer.GRAMOS,3110,2,0.8
Peso.al.nacer.GRAMOS,3170,2,0.8
Peso.al.nacer.GRAMOS,3206,2,0.8
Peso.al.nacer.GRAMOS,3230,2,0.8
Peso.al.nacer.GRAMOS,3300,2,0.8
Peso.al.nacer.GRAMOS,3332,2,0.8
Peso.al.nacer.GRAMOS,3350,2,0.8
Peso.al.nacer.GRAMOS,3370,2,0.8
Peso.al.nacer.GRAMOS,3380,2,0.8
Peso.al.nacer.GRAMOS,955,1,0.4
Peso.al.nacer.GRAMOS,1086,1,0.4
Peso.al.nacer.GRAMOS,1255,1,0.4
Peso.al.nacer.GRAMOS,1260,1,0.4
Peso.al.nacer.GRAMOS,1520,1,0.4
Peso.al.nacer.GRAMOS,1538,1,0.4
Peso.al.nacer.GRAMOS,1562,1,0.4
Peso.al.nacer.GRAMOS,1685,1,0.4
Peso.al.nacer.GRAMOS,1736,1,0.4
Peso.al.nacer.GRAMOS,1850,1,0.4
Peso.al.nacer.GRAMOS,1876,1,0.4
Peso.al.nacer.GRAMOS,1904,1,0.4
Peso.al.nacer.GRAMOS,1920,1,0.4
Peso.al.nacer.GRAMOS,1970,1,0.4
Peso.al.nacer.GRAMOS,1975,1,0.4
Peso.al.nacer.GRAMOS,2030,1,0.4
Peso.al.nacer.GRAMOS,2038,1,0.4
Peso.al.nacer.GRAMOS,2042,1,0.4
