periodo,anios,casos_total,nacimientos_total,tasa_x1000,ic95_inf_tasa,ic95_sup_tasa,irr,ic95_inf_irr,ic95_sup_irr,p_valor
2009-2017,9,148,82174,1.8010562951785234,1.5225839890255317,2.1157182990518173,NA,NA,NA,NA
2018-2021,4,78,18797,4.149598340160664,3.2800852904729667,5.17888652715166,2.303980364899358,1.7437913311947302,3.020504606973386,2.4438564624231655e-9
2022-2024,3,29,10771,2.6924148175656852,1.8031524591540187,3.866756794966724,1.494908751477273,0.9848300835003713,2.1897211116123603,0.04771659251879815
