variable,tipo_variable,clase_r,n_valido,missing_n,missing_pct,n_unicos,rango_min,rango_max,categoria_minoritaria_n,top_categorias
Peso..Edad.Gestacional.CODIGO,numerica_discreta_baja_cardinalidad,numeric,255,0,0,3,1,3,8,2=193; 1=54; 3=8
Peso.al.nacimiento.CODIGO,numerica_discreta_baja_cardinalidad,numeric,255,0,0,3,1,3,4,2=201; 1=50; 3=4
MASCULINO,binaria,numeric,255,0,0,2,0,1,123,0=132; 1=123
Alimento.al.alta,categorica_nominal_ordinal,character,255,0,0,3,NA,NA,21,lactancia exclusiva=208; parcial=26; artificial=21
CONSEJERIA.LACTANCIA,binaria,numeric,255,0,0,2,0,1,113,1=142; 0=113
Defectos.congenitos.CODIGO,binaria,numeric,255,0,0,2,0,1,21,0=234; 1=21
Defectos.congénitos.CIE,numerica_discreta_baja_cardinalidad,numeric,22,233,91.4,11,123,169,1,123=5; 126=3; 139=3; 127=2; 154=2; 159=2; 145=1; 147=1
Tipos.de.defectos,texto_alta_cardinalidad,character,21,234,91.8,13,NA,NA,NA,hidrocefalia=4; labio hendido=3; hidronefrosis congénita=2; Otras anomalias circulatorias y respiratorias=2; otras malformaciones de SNC=2; atresia duodenal=1; espina bífida=1; onfalocele=1
SISTEMA.AFECTADO,categorica_nominal_ordinal,character,20,235,92.2,7,NA,NA,1,Sistema nervioso=7; CARDIOPULMONARES=3; Labio y paladar hendido=3; ANOMALIAS CROMOSOMICAS=2; MUSCULO-ESQUELETICAS=2; UROGENITAL=2; GASTROINTESTINAL=1
Egreso.RN,categorica_nominal_ordinal,character,255,0,0,3,NA,NA,2,vivo=250; traslado=3; fallece=2
RN.vivo.CODIGO,categorica_nominal_ordinal,character,254,1,0.4,3,NA,NA,2,1=249; traslado=3; 0=2
MAMA.HIV,binaria,numeric,255,0,0,2,0,1,5,0=250; 1=5
BEBE.sifilis.congenita,constante,numeric,255,0,0,1,1,1,NA,1=255
BEBE.SEPSIS,binaria,numeric,255,0,0,2,0,1,11,0=244; 1=11
BEBE.Hipoglicemia,binaria,numeric,255,0,0,2,0,1,5,0=250; 1=5
BEBE.POLICITEMIA,binaria,numeric,255,0,0,2,0,1,8,0=247; 1=8
BEBE.Ictericia,binaria,numeric,255,0,0,2,0,1,50,0=205; 1=50
BEBE.Dificultad.respiratoria,binaria,numeric,255,0,0,2,0,1,12,0=243; 1=12
BEBE.Trastorno.alimenticio,binaria,numeric,255,0,0,2,0,1,10,0=245; 1=10
TRASTORNOS.HIPERTENSIVOS.CATEGORIA,categorica_nominal_ordinal,character,253,2,0.8,3,NA,NA,4,NINGUNO=225; PREECLAMPSIA=24; HTA inducida=4
LACTANCIA_EXCLUSIVA_SI_NO,binaria,numeric,255,0,0,2,0,1,47,1=208; 0=47
