modelo,n_estratos,IRR,ICr95_inf,ICr95_sup,P_IRR_gt_1,shape,shape_inf,shape_sup
Principal,32,2.3717570289288026,1.418365398136714,3.9895727238543968,0.99875,4.007212369337908,2.0078702086229803,7.508744705955422
Sin 2024 (ambos orígenes),30,2.3164082147486136,1.3439892135676401,3.8539998421675548,0.998625,4.068523722207604,2.006383265667208,7.803039983914133
