Metrica,Valor
Rhat máximo,1.0013133073823404
ESS bulk mínimo,2939.2691438155844
ESS tail mínimo,3019.8815007792923
Divergencias,0
ELPD-LOO,-80.24091167999654
SE ELPD-LOO,5.9467955429381565
Pareto-k máximo,0.47252613451448083
