Parametro,Mediana,ICr95_inf,ICr95_sup,P(IRR > 1)
IRR: extranjera vs nacional,2.3717570289288026,1.418365398136714,3.9895727238543968,0.99875
Shape binomial negativa,4.007212369337908,2.0078702086229803,7.508744705955422,NA
