modelo,n_estratos,IRR,ICr95_inf,ICr95_sup,P_IRR_gt_1,shape,shape_inf,shape_sup
Principal,32,2.3717570289288026,1.418365398136714,3.9895727238543968,0.99875,4.007212369337908,2.0078702086229803,7.508744705955422
Sin 2021 ambos orígenes,30,2.674806926680227,1.5552010638831375,4.427635715100959,0.99975,4.430199413643347,2.1394470396882923,8.395605570094272
