escenario,osd,shrate,IRR,ICr95_inf,ICr95_sup,P_IRR_gt_1,shape,shape_inf,shape_sup,Rhat_max,ESS_min,divergencias,ELPD_LOO
A Principal,1,1,2.3717570289288026,1.418365398136714,3.9895727238543968,0.99875,4.007212369337908,2.0078702086229803,7.508744705955422,1.0013133073823404,2939.2691438155844,0,-80.24091167999654
B Origen más regularizado,0.5,1,2.034355914961198,1.2369474045144433,3.29220430799243,0.9966666666666667,3.9468206211156227,2.0014112146263257,7.39530025255603,1.0017547840635523,1992.5610988476603,0,-80.44780638174038
C Origen menos regularizado,1.5,1,2.4531509913000855,1.4504118449293617,4.005323142444113,0.9996666666666667,4.028531974384013,2.0544742261717763,7.529615170084305,1.0018913240388518,1951.1903788193385,0,-80.05105367477512
D Shape más amplio,1,0.5,2.408269648645586,1.4979320874934636,3.8648000730728183,0.9991666666666666,5.43386178534152,2.5624695400252104,11.673432452372966,1.0035733308113606,1621.0402792919542,0,-79.34599058975093
E Shape más concentrado,1,2,2.3258309253745892,1.316009471295652,4.046620723457165,0.9976666666666667,2.862005876548542,1.5457537970299229,4.992636460104213,1.0027557147424757,1490.983016177595,0,-81.48430525736998
