periodo,origen,casos,nacimientos,tasa_1000,IC95_inf,IC95_sup
2009-2012,nacional,85,42968,1.9782163470489667,1.580128956544277,2.446095147991504
2009-2012,extranjera,3,913,3.285870755750274,0.6776255453401988,9.602708729181076
2013-2016,nacional,45,31576,1.425133012414492,1.0395017984619477,1.9069400968127315
2013-2016,extranjera,4,1034,3.8684719535783367,1.0540284077624036,9.904824637721177
2017-2020,nacional,47,18173,2.5862543333516754,1.900282406155602,3.439169996183732
2017-2020,extranjera,14,2089,6.701771182383916,3.663920668406223,11.244433279959587
2021-2024,nacional,42,13325,3.151969981238274,2.271662719135287,4.260547750731006
2021-2024,extranjera,15,1664,9.014423076923077,5.045304166336126,14.867919994883318
